"","Label","Type","Reference Model","02. Fix M","03. Fix M_k_t0_CV","04. Fix M_t0_CV","05. Fix M_CV","08. Fix growth","09. Fix Linf_CV","10. Fix k_CV","11. Fix CV","12. 5GTG","13. No recdevs","14. recdevs_sR45","15. recdevs_sR75","17. Dome-shaped_sel","18. Lorenzen M"
"49",NA,"Main_RecrDev_1949",0.110204,0.123719,0.153738,0.149576,0.148642,0.103803,0.148723,0.148015,0.135509,0.121463,NA,0.110204,0.110204,0.117106,0.0980874
"50",NA,"Main_RecrDev_1950",0.166457,0.180994,0.206884,0.20359,0.202359,0.155327,0.203168,0.201186,0.188953,0.178805,NA,0.166457,0.166457,0.174347,0.153829
"51",NA,"Main_RecrDev_1951",0.205774,0.223233,0.24662,0.244073,0.242792,0.1894,0.242628,0.239523,0.226721,0.218916,NA,0.205774,0.205774,0.214283,0.191941
"52",NA,"Main_RecrDev_1952",0.208906,0.230194,0.253974,0.252087,0.251057,0.189041,0.247907,0.244328,0.230462,0.222241,NA,0.208906,0.208906,0.217357,0.193629
"53",NA,"Main_RecrDev_1953",0.172725,0.196709,0.223195,0.221981,0.221335,0.152228,0.21432,0.211077,0.196485,0.185799,NA,0.172725,0.172725,0.180623,0.156515
"54",NA,"Main_RecrDev_1954",0.113282,0.137864,0.167315,0.166882,0.166506,0.0943211,0.156317,0.153791,0.139299,0.12616,NA,0.113282,0.113282,0.120687,0.0969673
"55",NA,"Main_RecrDev_1955",0.049973,0.0735643,0.104673,0.105183,0.104871,0.0331924,0.0927187,0.0908283,0.0771807,0.0630069,NA,0.049973,0.049973,0.0572542,0.0342618
"56",NA,"Main_RecrDev_1956",-0.00438234,0.0174234,0.0483739,0.0499962,0.0496013,-0.0193818,0.0364473,0.034912,0.0226213,0.0091663,NA,-0.00438234,-0.00438234,0.00315386,-0.0189417
"57",NA,"Main_RecrDev_1957",-0.0436546,-0.0238627,0.0052364,0.00811481,0.00759015,-0.0577107,-0.00600566,-0.0074855,-0.0181023,-0.029327,NA,-0.0436546,-0.0436546,-0.0355736,-0.0566094
"58",NA,"Main_RecrDev_1958",-0.0661548,-0.0482827,-0.0222937,-0.018071,-0.0186923,-0.0802069,-0.0324643,-0.0341441,-0.0429305,-0.050858,NA,-0.0661548,-0.0661548,-0.0573104,-0.0771701
"59",NA,"Main_RecrDev_1959",-0.0732033,-0.0570345,-0.0349048,-0.0293174,-0.029963,-0.0882025,-0.0437824,-0.0458615,-0.0527929,-0.0567426,NA,-0.0732033,-0.0732033,-0.0634087,-0.0821397
"60",NA,"Main_RecrDev_1960",-0.0680294,-0.0534012,-0.0355026,-0.0285749,-0.0291659,-0.0849788,-0.0429017,-0.0455228,-0.0506489,-0.0501367,NA,-0.0680294,-0.0680294,-0.0571025,-0.0749809
"61",NA,"Main_RecrDev_1961",-0.0544538,-0.0413466,-0.0278947,-0.0196346,-0.0200927,-0.0744129,-0.0335617,-0.0368204,-0.0401613,-0.0348013,NA,-0.0544538,-0.0544538,-0.0421977,-0.0596745
"62",NA,"Main_RecrDev_1962",-0.0355863,-0.0241419,-0.0151734,-0.00551056,-0.00575821,-0.0593504,-0.0187409,-0.0226894,-0.024138,-0.0138886,NA,-0.0355863,-0.0355863,-0.0218105,-0.0393421
"63",NA,"Main_RecrDev_1963",-0.013332,-0.00380263,0.00149754,0.0126914,0.0126713,-0.0404829,0.000440697,-0.00420384,-0.00358247,0.0105703,NA,-0.013332,-0.013332,0.00209183,-0.0157786
