"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68"
1969,1.71019,1.45774,1.22947,1.05787,0.929739,0.827333,0.740307,0.664127,0.597332,0.539453,0.490971,0.452131,0.422886,0.402358,0.388795,0.379232,0.368588,0.350124,0.319829,0.281842,0.244248,0.212926,0.183825,0.168618,0.154711,0.141987,0.130338,0.119669,0.109893,0.100929,0.0927056,0.0851584,0.0782289,0.0718652,0.0660201,0.0606509,0.0557185,0.0511874,0.0470248,0.0432007,0.0396877,0.0364603,0.0334953,0.0307715,0.0282692,0.0259704,0.0238585,0.0219183,0.0201359,0.0184985,0.0169942,0.0156122,0.0143427,0.0131763,0.0121048,0.0111205,0.0102162,0.00938539,0.00862217,0.00792102,0.00727689,0.00668514,0.0061415,0.00564208,0.00518327,0.00476177,0.00437454,0.00401881,0.0454012
1970,1.70556,1.57112,1.3392,1.12949,0.971824,0.854041,0.759801,0.679587,0.609268,0.547576,0.494146,0.449448,0.413696,0.386815,0.367969,0.355527,0.346762,0.337019,0.320132,0.29243,0.257696,0.223323,0.194684,0.168075,0.154172,0.141456,0.129822,0.119171,0.109417,0.100478,0.0922818,0.0847631,0.0778624,0.0715266,0.0657081,0.0603638,0.0554546,0.0509448,0.0468019,0.0429959,0.0394995,0.0362874,0.0333365,0.0306256,0.0281352,0.0258472,0.0237453,0.0218144,0.0200404,0.0184108,0.0169136,0.0155382,0.0142747,0.0131138,0.0120474,0.0110677,0.0101677,0.00934089,0.00858129,0.00788346,0.00724239,0.00665344,0.00611238,0.00561533,0.00515869,0.00473919,0.0043538,0.00399975,0.0451859
1971,1.55478,1.56686,1.44335,1.23029,1.03762,0.892699,0.784328,0.697479,0.623446,0.558511,0.501578,0.452344,0.41123,0.378399,0.353744,0.336473,0.325078,0.317054,0.308141,0.292699,0.26737,0.235612,0.204184,0.177999,0.153671,0.140959,0.129333,0.118696,0.108958,0.100039,0.0918666,0.0843731,0.0774987,0.0711894,0.0653967,0.0600768,0.0551905,0.050702,0.0465788,0.0427909,0.0393111,0.0361143,0.0331775,0.0304795,0.028001,0.0257239,0.0236321,0.0217103,0.0199449,0.0183229,0.0168329,0.0154641,0.0142066,0.0130513,0.01199,0.0110149,0.0101192,0.00929633,0.00854036,0.00784586,0.00720784,0.0066217,0.00608323,0.00558854,0.00513409,0.00471658,0.00433303,0.00398067,0.0449704
1972,1.38062,1.42834,1.43944,1.32598,1.13022,0.953134,0.819826,0.719983,0.639843,0.571484,0.511565,0.459115,0.413848,0.376112,0.346017,0.323437,0.307628,0.2972,0.28986,0.28171,0.26759,0.244434,0.2154,0.186668,0.16273,0.140488,0.128867,0.118238,0.108514,0.0996111,0.0914575,0.0839857,0.077135,0.0708504,0.0650824,0.0597865,0.0549231,0.0504559,0.0463525,0.0425829,0.03912,0.0359388,0.0330162,0.0303313,0.0278648,0.0255989,0.0235172,0.0216048,0.0198479,0.0182339,0.0167511,0.0153889,0.0141375,0.0129878,0.0119317,0.0109614,0.01007,0.00925113,0.00849883,0.00780771,0.00717279,0.0065895,0.00605365,0.00556137,0.00510912,0.00469365,0.00431197,0.00396132,0.0447517
1973,1.26036,1.26835,1.31219,1.32239,1.21812,1.0382,0.875326,0.752568,0.660486,0.586512,0.523446,0.468255,0.420041,0.378504,0.343924,0.31637,0.295708,0.281245,0.271707,0.264995,0.257543,0.244634,0.223464,0.19692,0.170654,0.148769,0.128436,0.117811,0.108095,0.0992041,0.0910654,0.0836112,0.0767804,0.0705175,0.064772,0.0594988,0.0546574,0.0502111,0.0461272,0.0423758,0.0389297,0.0357639,0.0328555,0.0301837,0.0277292,0.0254742,0.0234027,0.0214996,0.0197513,0.0181451,0.0166695,0.015314,0.0140687,0.0129246,0.0118736,0.010908,0.010021,0.00920609,0.00845746,0.0077697,0.00713787,0.00655743,0.00602418,0.0055343,0.00508425,0.0046708,0.00429098,0.00394204,0.0445339
1974,1.2001,1.15787,1.16521,1.20548,1.21482,1.11894,0.95344,0.803507,0.690365,0.605417,0.53719,0.479107,0.42838,0.384146,0.346091,0.314437,0.289229,0.27033,0.257105,0.248384,0.242247,0.235433,0.223633,0.20428,0.180015,0.156003,0.135997,0.11741,0.107697,0.0988147,0.0906875,0.0832475,0.0764333,0.0701889,0.0644636,0.0592114,0.0543909,0.0499651,0.0459005,0.0421673,0.0387379,0.0355876,0.0326936,0.0300349,0.0275925,0.0253486,0.0232873,0.0213936,0.0196539,0.0180556,0.0165874,0.0152385,0.0139993,0.0128609,0.011815,0.0108542,0.00997159,0.0091607,0.00841576,0.00773139,0.00710268,0.00652509,0.00599448,0.00550701,0.00505918,0.00464777,0.00426982,0.0039226,0.0443143
1975,1.16954,1.10251,1.06371,1.07045,1.10743,1.11591,1.02759,0.875206,0.737085,0.632793,0.554491,0.491672,0.438292,0.391757,0.351235,0.316405,0.287449,0.264396,0.247116,0.235025,0.227052,0.221441,0.215213,0.204425,0.186734,0.164554,0.142604,0.124317,0.107325,0.0984471,0.0903276,0.0828984,0.0760974,0.0698685,0.0641604,0.0589269,0.0541258,0.0497193,0.0456736,0.0419582,0.0385455,0.0354107,0.032531,0.0298855,0.0274552,0.0252226,0.0231715,0.0212872,0.0195561,0.0179658,0.0165048,0.0151627,0.0139297,0.0127969,0.0117563,0.0108003,0.00992198,0.00911513,0.0083739,0.00769293,0.00706735,0.00649264,0.00596466,0.00547962,0.00503402,0.00462465,0.00424858,0.00390309,0.0440939
1976,1.11726,1.07443,1.01286,0.977209,0.983379,1.01725,1.0248,0.943257,0.802833,0.675586,0.579529,0.507469,0.449748,0.400786,0.35816,0.321077,0.28922,0.262744,0.241668,0.225872,0.214819,0.20753,0.202402,0.196709,0.186849,0.170679,0.150406,0.130343,0.113628,0.0980977,0.0899827,0.0825614,0.0757709,0.0695547,0.0638613,0.058644,0.0538604,0.0494721,0.0454445,0.0417467,0.0383507,0.0352314,0.0323662,0.029734,0.027316,0.0250947,0.023054,0.0211792,0.0194569,0.0178747,0.0164211,0.0150858,0.013859,0.012732,0.0116966,0.0107455,0.00987166,0.0090689,0.00833143,0.00765392,0.00703151,0.00645971,0.00593441,0.00545183,0.00500849,0.0046012,0.00422703,0.00388329,0.0438702
1977,1.0197,1.02641,0.987059,0.930491,0.897731,0.903351,0.93434,0.941018,0.865803,0.736565,0.619532,0.531234,0.465043,0.412068,0.367164,0.328093,0.294113,0.264926,0.240671,0.221365,0.206895,0.196771,0.190095,0.185397,0.180182,0.171151,0.156339,0.137769,0.119392,0.104081,0.0898559,0.0824227,0.0756249,0.0694049,0.0637109,0.0584959,0.053717,0.0493353,0.0453157,0.0416264,0.0382393,0.0351286,0.0322714,0.0296469,0.0272359,0.025021,0.0229863,0.0211171,0.0193998,0.0178222,0.0163729,0.0150415,0.0138183,0.0126946,0.0116623,0.0107139,0.00984268,0.00904228,0.00830697,0.00763145,0.00701087,0.00644075,0.00591699,0.00543582,0.00499378,0.00458769,0.00421462,0.00387189,0.0437415
1978,0.915855,0.93678,0.942942,0.906789,0.854794,0.82459,0.829463,0.857345,0.862625,0.792745,0.673625,0.566031,0.485,0.424363,0.375912,0.334893,0.29923,0.268226,0.241602,0.219481,0.201873,0.188677,0.179443,0.173355,0.169071,0.164316,0.156079,0.142572,0.125637,0.108879,0.0949159,0.0819432,0.0751646,0.0689653,0.0632931,0.0581005,0.0533447,0.0489866,0.0449908,0.0413251,0.0379608,0.0348719,0.0320352,0.0294296,0.0270362,0.0248375,0.0228177,0.0209621,0.0192575,0.0176915,0.0162528,0.0149311,0.0137169,0.0126015,0.0115767,0.0106353,0.00977046,0.00897593,0.00824602,0.00757545,0.00695942,0.00639349,0.00587357,0.00539594,0.00495714,0.00455403,0.0041837,0.00384348,0.0434205
1979,0.852479,0.841378,0.860602,0.86626,0.833025,0.785171,0.7572,0.761239,0.786165,0.790212,0.725471,0.615935,0.517228,0.442999,0.387516,0.343223,0.305748,0.273178,0.244869,0.220561,0.200365,0.18429,0.172243,0.163814,0.158256,0.154345,0.150003,0.142485,0.130154,0.114694,0.0993951,0.0866486,0.0748058,0.0686176,0.0629583,0.0577802,0.0530399,0.0486983,0.0447198,0.041072,0.0377257,0.0346544,0.0318345,0.0292448,0.0268662,0.0246813,0.0226741,0.0208302,0.0191363,0.0175801,0.0161505,0.0148372,0.0136306,0.0125222,0.0115039,0.0105684,0.00970897,0.00891944,0.00819412,0.00752778,0.00691562,0.00635325,0.0058366,0.00536197,0.00492594,0.00452537,0.00415737,0.00381929,0.0431472
1980,0.846795,0.783156,0.772958,0.790617,0.795799,0.765204,0.721089,0.695112,0.698391,0.720731,0.723913,0.664192,0.563649,0.473178,0.405196,0.354411,0.313885,0.279605,0.249816,0.223926,0.201697,0.183228,0.168528,0.157511,0.149802,0.14472,0.141143,0.137173,0.130297,0.119021,0.104884,0.0908936,0.0792373,0.0684074,0.0627485,0.0575733,0.0528381,0.0485032,0.044533,0.0408948,0.037559,0.0344989,0.0316903,0.0291116,0.0267434,0.0245683,0.0225702,0.0207347,0.0190485,0.0174995,0.0160764,0.0147691,0.0135681,0.0124647,0.0114511,0.0105199,0.00966444,0.00887853,0.00815653,0.00749325,0.0068839,0.00632411,0.00580983,0.00533738,0.00490335,0.00450461,0.0041383,0.00380177,0.0429493
1981,0.893886,0.777934,0.71947,0.7101,0.726306,0.730993,0.702705,0.661859,0.637543,0.639984,0.659874,0.662291,0.607316,0.515193,0.432404,0.370235,0.32381,0.286773,0.25545,0.228232,0.204578,0.184269,0.167395,0.153965,0.1439,0.136858,0.132214,0.128947,0.12532,0.119038,0.108737,0.0958208,0.0830394,0.0723904,0.0624963,0.0573264,0.0525984,0.0482723,0.0443121,0.0406849,0.0373611,0.0343135,0.0315178,0.0289519,0.0265961,0.0244325,0.0224453,0.0206199,0.018943,0.0174026,0.0159874,0.0146873,0.0134929,0.0123957,0.0113877,0.0104616,0.00961089,0.00882933,0.00811134,0.00745173,0.00684576,0.00628906,0.00577764,0.00530781,0.00487618,0.00447965,0.00411537,0.00378071,0.0427113
1982,0.957519,0.821196,0.714673,0.660962,0.652336,0.667147,0.671251,0.644904,0.606905,0.584018,0.585665,0.603351,0.605176,0.55471,0.470449,0.394794,0.338006,0.295611,0.261794,0.233197,0.208349,0.186755,0.168215,0.152811,0.140551,0.131363,0.124934,0.120695,0.117713,0.114402,0.108667,0.0992632,0.0874725,0.0758047,0.0660835,0.0570514,0.0523319,0.0480158,0.0440666,0.0404514,0.0371403,0.034106,0.031324,0.0287719,0.0264295,0.0242789,0.0223039,0.0204898,0.0188234,0.0172926,0.0158864,0.0145945,0.0134077,0.0123173,0.0113157,0.0103955,0.00955016,0.00877354,0.00806008,0.00740464,0.0068025,0.00624933,0.00574113,0.00527427,0.00484537,0.00445134,0.00408936,0.00375682,0.0424415
