"","Label","Type","Reference Model","01. L","02. CL","03. CL_Fr","04. CLA_fixed","05. CLA_fixed_recs","06. RefMod_Dir","07. RefMod_McI","08. RefMod_noDWt","09. Catch67original","10. HistCatchMin","11. HistCatchMax","12. Sex=3","13. CARE_AE"
"65",NA,"Main_RecrDev_1965",0.0434886,NA,NA,NA,NA,0.050953,0.0640904,0.0595918,0.0434886,0.066135,0.0658633,0.0659016,0.0448424,0.0975962
"66",NA,"Main_RecrDev_1966",0.0879191,NA,NA,NA,NA,0.102899,0.11042,0.0960412,0.0879191,0.112508,0.113228,0.111727,0.0893504,0.153899
"67",NA,"Main_RecrDev_1967",0.153737,NA,NA,NA,NA,0.179638,0.179567,0.147473,0.153737,0.181555,0.183404,0.180152,0.155188,0.210945
"68",NA,"Main_RecrDev_1968",0.238557,NA,NA,NA,NA,0.273263,0.270141,0.209983,0.238557,0.272956,0.275981,0.270886,0.240029,0.252975
"69",NA,"Main_RecrDev_1969",0.313559,NA,NA,NA,NA,0.342134,0.35332,0.263356,0.313559,0.356567,0.361026,0.353654,0.315214,0.273596
"70",NA,"Main_RecrDev_1970",0.313991,NA,NA,NA,NA,0.3193,0.35681,0.267644,0.313991,0.360252,0.365748,0.356777,0.315948,0.266712
"71",NA,"Main_RecrDev_1971",0.22511,NA,NA,NA,NA,0.206605,0.262747,0.211073,0.22511,0.265932,0.271625,0.262461,0.227353,0.220174
"72",NA,"Main_RecrDev_1972",0.109841,NA,NA,NA,NA,0.0760222,0.141622,0.12824,0.109841,0.144551,0.150169,0.141246,0.112361,0.159031
"73",NA,"Main_RecrDev_1973",0.0218805,NA,NA,NA,NA,-0.0216914,0.0502784,0.0583726,0.0218805,0.0531031,0.0586412,0.0499304,0.0246762,0.120542
"74",NA,"Main_RecrDev_1974",-0.0242397,NA,NA,NA,NA,-0.0732853,0.0025599,0.0164307,-0.0242397,0.00536936,0.0108526,0.0022805,-0.0212154,0.120258
"75",NA,"Main_RecrDev_1975",-0.0474269,NA,NA,NA,NA,-0.0990805,-0.0220022,-0.00900925,-0.0474269,-0.0192105,-0.01378,-0.0222406,-0.0443013,0.138917
